Source_ID,Target_ID,Relationship,Weight,Shape
820,821,Trayectoria probable,0.5,cambiante
822,823,Trayectoria probable,0.5,cambiante
822,824,Trayectoria probable,0.5,cambiante
822,825,Trayectoria probable,0.5,cambiante
822,826,Trayectoria probable,0.5,cambiante
823,824,Trayectoria probable,0.5,cambiante
823,825,Trayectoria probable,0.5,cambiante
823,826,Trayectoria probable,0.5,cambiante
824,825,Trayectoria probable,0.5,cambiante
824,826,Trayectoria probable,0.5,cambiante
824,827,Trayectoria probable,0.5,cambiante
825,826,Trayectoria probable,0.5,cambiante
825,827,Trayectoria probable,0.5,cambiante
826,827,Trayectoria probable,0.5,cambiante
827,828,Trayectoria probable,0.5,cambiante
829,830,Trayectoria probable,0.5,cambiante
831,832,Trayectoria probable,0.5,cambiante
832,833,Trayectoria probable,0.5,cambiante
833,834,Trayectoria probable,0.5,cambiante
833,835,Trayectoria probable,0.5,cambiante
834,835,Trayectoria probable,0.5,cambiante
836,837,Trayectoria probable,0.5,cambiante
842,906,Contexto estratégico,0.3,cambiante
